Date Applied,Transaction Code,System Event Description,Order No,Order Type,Transaction Qty,On Hand Qty After Transaction,Lead Time Coverage,Order Point,Lot Size
2023-03-20,NREC,Receipt into Inventory,,,4830,4830,0.81,4000,8000
2023-04-19,INTSHIP,Issue for Material Requisition,875,Material Requisition,-99,4731,0.8,4000,8000
2023-04-19,INTSHIP,Issue for Material Requisition,1002,Material Requisition,-60,4671,0.79,4000,8000
2023-04-19,INTSHIP,Issue for Material Requisition,1126,Material Requisition,-60,4611,0.78,4000,8000
2023-04-19,INTSHIP,Issue for Material Requisition,1214,Material Requisition,-60,4551,0.77,4000,8000
2023-04-25,INTSHIP,Issue for Material Requisition,1338,Material Requisition,-60,4491,0.76,4000,8000
2023-04-25,INTSHIP,Issue for Material Requisition,1365,Material Requisition,-24,4467,0.75,4000,8000
2023-04-25,INTSHIP,Issue for Material Requisition,1419,Material Requisition,-39,4428,0.74,4000,8000
2023-04-25,INTSHIP,Issue for Material Requisition,1450,Material Requisition,-24,4404,0.74,4000,8000
2023-04-25,INTSHIP,Issue for Material Requisition,1462,Material Requisition,-48,4356,0.73,4000,8000
2023-04-27,INTSHIP,Issue for Material Requisition,3058,Material Requisition,-60,4296,0.72,4000,8000
2023-04-28,INTSHIP,Issue for Material Requisition,1592,Material Requisition,-48,4248,0.71,4000,8000
2023-04-28,INTSHIP,Issue for Material Requisition,1739,Material Requisition,-48,4200,0.71,4000,8000
2023-04-28,INTSHIP,Issue for Material Requisition,2354,Material Requisition,-60,4140,0.7,4000,8000
2023-04-28,INTSHIP,Issue for Material Requisition,1651,Material Requisition,-48,4092,0.69,4000,8000
2023-04-28,INTSHIP,Issue for Material Requisition,2421,Material Requisition,-60,4032,0.68,4000,8000
2023-04-28,INTSHIP,Issue for Material Requisition,2505,Material Requisition,-60,3972,0.67,4000,8000
2023-04-28,INTSHIP,Issue for Material Requisition,2696,Material Requisition,-60,3912,0.66,4000,8000
2023-04-28,INTSHIP,Issue for Material Requisition,2730,Material Requisition,-60,3852,0.65,4000,8000
2023-04-28,INTSHIP,Issue for Material Requisition,2769,Material Requisition,-60,3792,0.64,4000,8000
2023-04-28,INTSHIP,Issue for Material Requisition,1989,Material Requisition,-60,3732,0.63,4000,8000
2023-04-28,INTSHIP,Issue for Material Requisition,2637,Material Requisition,-60,3672,0.62,4000,8000
2023-04-28,INTSHIP,Issue for Material Requisition,1848,Material Requisition,-60,3612,0.61,4000,8000
2023-04-28,INTSHIP,Issue for Material Requisition,2136,Material Requisition,-48,3564,0.6,4000,8000
2023-04-28,INTSHIP,Issue for Material Requisition,2097,Material Requisition,-39,3525,0.59,4000,8000
2023-04-29,INTSHIP,Issue for Material Requisition,2105,Material Requisition,-24,3501,0.59,4000,8000
2023-04-29,INTSHIP,Issue for Material Requisition,885,Material Requisition,-60,3441,0.58,4000,8000
2023-04-30,INTSHIP,Issue for Material Requisition,888,Material Requisition,-60,3381,0.57,4000,8000
2023-05-01,INTSHIP,Issue for Material Requisition,3264,Material Requisition,-60,3321,0.56,4000,8000
2023-05-01,INTSHIP,Issue for Material Requisition,3192,Material Requisition,-60,3261,0.55,4000,8000
2023-05-01,INTSHIP,Issue for Material Requisition,3126,Material Requisition,-60,3201,0.54,4000,8000
2023-05-01,INTSHIP,Issue for Material Requisition,3122,Material Requisition,-12,3189,0.54,4000,8000
2023-05-01,INTSHIP,Issue for Material Requisition,1819,Material Requisition,-48,3141,0.53,4000,8000
2023-05-02,INTSHIP,Issue for Material Requisition,3335,Material Requisition,-12,3129,0.53,4000,8000
2023-05-02,INTSHIP,Issue for Material Requisition,3337,Material Requisition,-60,3069,0.52,4000,8000
2023-05-02,INTSHIP,Issue for Material Requisition,2248,Material Requisition,-60,3009,0.51,4000,8000
2023-05-02,INTSHIP,Issue for Material Requisition,2220,Material Requisition,-24,2985,0.5,4000,8000
2023-05-02,INTSHIP,Issue for Material Requisition,2178,Material Requisition,-60,2925,0.49,4000,8000
2023-05-03,INTSHIP,Issue for Material Requisition,3412,Material Requisition,-60,2865,0.48,4000,8000
2023-05-03,INTSHIP,Issue for Material Requisition,3100,Material Requisition,-60,2805,0.47,4000,8000
2023-05-04,INTSHIP,Issue for Material Requisition,2912,Material Requisition,-60,2745,0.46,4000,8000
2023-05-04,INTSHIP,Issue for Material Requisition,2998,Material Requisition,-60,2685,0.45,4000,8000
2023-05-04,INTSHIP,Issue for Material Requisition,3483,Material Requisition,-60,2625,0.44,4000,8000
2023-05-05,INTSHIP,Issue for Material Requisition,2818,Material Requisition,-48,2577,0.43,4000,8000
2023-05-05,INTSHIP,Issue for Material Requisition,3526,Material Requisition,-60,2517,0.42,4000,8000
