Date Applied,Transaction Code,System Event Description,Order No,Order Type,Transaction Qty,On Hand Qty After Transaction,Lead Time Coverage,Order Point,Lot Size,Jalali_Date,J_Year,J_Month,J_Day,J_WeekOfYear,J_Season,J_Weekday_Name,Production_Date,Expiry_Date,Expired_Qty_Today,Risk_Qty_Next_30d,Expiry_Risk_Index
2023-03-20,NREC,Receipt into Inventory,,,4830.0,4830.0,0.81,4000,8000,1402-01-01,1402,1,1,1,بهار,دوشنبه,2023-03-20,2024-03-19,0.0,0,0.0
2023-04-19,INTSHIP,Issue for Material Requisition,875.0,Material Requisition,-99.0,4731.0,0.8,4000,8000,1402-01-31,1402,1,31,5,بهار,چهارشنبه,,,0.0,0,0.0
2023-04-19,INTSHIP,Issue for Material Requisition,1002.0,Material Requisition,-60.0,4671.0,0.79,4000,8000,1402-01-31,1402,1,31,5,بهار,چهارشنبه,,,0.0,0,0.0
2023-04-19,INTSHIP,Issue for Material Requisition,1126.0,Material Requisition,-60.0,4611.0,0.78,4000,8000,1402-01-31,1402,1,31,5,بهار,چهارشنبه,,,0.0,0,0.0
2023-04-19,INTSHIP,Issue for Material Requisition,1214.0,Material Requisition,-60.0,4551.0,0.77,4000,8000,1402-01-31,1402,1,31,5,بهار,چهارشنبه,,,0.0,0,0.0
2023-04-25,INTSHIP,Issue for Material Requisition,1462.0,Material Requisition,-48.0,4356.0,0.73,4000,8000,1402-02-06,1402,2,6,6,بهار,سه‌شنبه,,,0.0,0,0.0
2023-04-25,INTSHIP,Issue for Material Requisition,1419.0,Material Requisition,-39.0,4428.0,0.74,4000,8000,1402-02-06,1402,2,6,6,بهار,سه‌شنبه,,,0.0,0,0.0
2023-04-25,INTSHIP,Issue for Material Requisition,1450.0,Material Requisition,-24.0,4404.0,0.74,4000,8000,1402-02-06,1402,2,6,6,بهار,سه‌شنبه,,,0.0,0,0.0
2023-04-25,INTSHIP,Issue for Material Requisition,1338.0,Material Requisition,-60.0,4491.0,0.76,4000,8000,1402-02-06,1402,2,6,6,بهار,سه‌شنبه,,,0.0,0,0.0
2023-04-25,INTSHIP,Issue for Material Requisition,1365.0,Material Requisition,-24.0,4467.0,0.75,4000,8000,1402-02-06,1402,2,6,6,بهار,سه‌شنبه,,,0.0,0,0.0
2023-04-27,INTSHIP,Issue for Material Requisition,3058.0,Material Requisition,-60.0,4296.0,0.72,4000,8000,1402-02-08,1402,2,8,6,بهار,پنج‌شنبه,,,0.0,0,0.0
2023-04-28,INTSHIP,Issue for Material Requisition,2769.0,Material Requisition,-60.0,3792.0,0.64,4000,8000,1402-02-09,1402,2,9,6,بهار,جمعه,,,0.0,0,0.0
2023-04-28,INTSHIP,Issue for Material Requisition,2136.0,Material Requisition,-48.0,3564.0,0.6,4000,8000,1402-02-09,1402,2,9,6,بهار,جمعه,,,0.0,0,0.0
2023-04-28,INTSHIP,Issue for Material Requisition,1848.0,Material Requisition,-60.0,3612.0,0.61,4000,8000,1402-02-09,1402,2,9,6,بهار,جمعه,,,0.0,0,0.0
2023-04-28,INTSHIP,Issue for Material Requisition,2637.0,Material Requisition,-60.0,3672.0,0.62,4000,8000,1402-02-09,1402,2,9,6,بهار,جمعه,,,0.0,0,0.0
2023-04-28,INTSHIP,Issue for Material Requisition,1989.0,Material Requisition,-60.0,3732.0,0.63,4000,8000,1402-02-09,1402,2,9,6,بهار,جمعه,,,0.0,0,0.0
2023-04-28,INTSHIP,Issue for Material Requisition,2730.0,Material Requisition,-60.0,3852.0,0.65,4000,8000,1402-02-09,1402,2,9,6,بهار,جمعه,,,0.0,0,0.0
2023-04-28,INTSHIP,Issue for Material Requisition,1739.0,Material Requisition,-48.0,4200.0,0.71,4000,8000,1402-02-09,1402,2,9,6,بهار,جمعه,,,0.0,0,0.0
2023-04-28,INTSHIP,Issue for Material Requisition,2505.0,Material Requisition,-60.0,3972.0,0.67,4000,8000,1402-02-09,1402,2,9,6,بهار,جمعه,,,0.0,0,0.0
2023-04-28,INTSHIP,Issue for Material Requisition,2421.0,Material Requisition,-60.0,4032.0,0.68,4000,8000,1402-02-09,1402,2,9,6,بهار,جمعه,,,0.0,0,0.0
2023-04-28,INTSHIP,Issue for Material Requisition,1651.0,Material Requisition,-48.0,4092.0,0.69,4000,8000,1402-02-09,1402,2,9,6,بهار,جمعه,,,0.0,0,0.0
2023-04-28,INTSHIP,Issue for Material Requisition,2354.0,Material Requisition,-60.0,4140.0,0.7,4000,8000,1402-02-09,1402,2,9,6,بهار,جمعه,,,0.0,0,0.0
2023-04-28,INTSHIP,Issue for Material Requisition,2097.0,Material Requisition,-39.0,3525.0,0.59,4000,8000,1402-02-09,1402,2,9,6,بهار,جمعه,,,0.0,0,0.0
2023-04-28,INTSHIP,Issue for Material Requisition,1592.0,Material Requisition,-48.0,4248.0,0.71,4000,8000,1402-02-09,1402,2,9,6,بهار,جمعه,,,0.0,0,0.0
2023-04-28,INTSHIP,Issue for Material Requisition,2696.0,Material Requisition,-60.0,3912.0,0.66,4000,8000,1402-02-09,1402,2,9,6,بهار,جمعه,,,0.0,0,0.0
2023-04-29,INTSHIP,Issue for Material Requisition,885.0,Material Requisition,-60.0,3441.0,0.58,4000,8000,1402-02-10,1402,2,10,6,بهار,شنبه,,,0.0,0,0.0
2023-04-29,INTSHIP,Issue for Material Requisition,2105.0,Material Requisition,-24.0,3501.0,0.59,4000,8000,1402-02-10,1402,2,10,6,بهار,شنبه,,,0.0,0,0.0
2023-04-30,INTSHIP,Issue for Material Requisition,888.0,Material Requisition,-60.0,3381.0,0.57,4000,8000,1402-02-11,1402,2,11,6,بهار,یکشنبه,,,0.0,0,0.0
2023-05-01,INTSHIP,Issue for Material Requisition,3264.0,Material Requisition,-60.0,3321.0,0.56,4000,8000,1402-02-12,1402,2,12,7,بهار,دوشنبه,,,0.0,0,0.0
2023-05-01,INTSHIP,Issue for Material Requisition,3192.0,Material Requisition,-60.0,3261.0,0.55,4000,8000,1402-02-12,1402,2,12,7,بهار,دوشنبه,,,0.0,0,0.0
2023-05-01,INTSHIP,Issue for Material Requisition,3126.0,Material Requisition,-60.0,3201.0,0.54,4000,8000,1402-02-12,1402,2,12,7,بهار,دوشنبه,,,0.0,0,0.0
2023-05-01,INTSHIP,Issue for Material Requisition,3122.0,Material Requisition,-12.0,3189.0,0.54,4000,8000,1402-02-12,1402,2,12,7,بهار,دوشنبه,,,0.0,0,0.0
2023-05-01,INTSHIP,Issue for Material Requisition,1819.0,Material Requisition,-48.0,3141.0,0.53,4000,8000,1402-02-12,1402,2,12,7,بهار,دوشنبه,,,0.0,0,0.0
2023-05-02,INTSHIP,Issue for Material Requisition,3335.0,Material Requisition,-12.0,3129.0,0.53,4000,8000,1402-02-13,1402,2,13,7,بهار,سه‌شنبه,,,0.0,0,0.0
